,tmdb_id,tmdb_title,trailer_title,trailer_youtube_key
0,278.0,The Shawshank Redemption,The Shawshank Redemption - Trailer,K_tLp7T6U1c
1,278.0,The Shawshank Redemption,The Shawshank Redemption - Trailer,uMwECVb1q54
2,278.0,The Shawshank Redemption,The Shawshank Redemption (1994) Trailer,BXUEUwwgIyU
3,278.0,The Shawshank Redemption,The Shawshank Redemption (1994) — Remastered Original Trailer,EsHlXpbMPOc
4,238.0,The Godfather,The Godfather - Official® Trailer [HD],_IqFJLdV13o
5,424.0,Schindler's List,"Schindler's List - Official Trailer - Steven Spielberg, Liam Neeson, Ben Kingsley Movie HD",bJcLRFWxRno
6,372058.0,Your Name.,Trailer [English Subtitled],xU47nhruN-Q
7,240.0,The Godfather: Part II,The Godfather Part II - Trailer,9O1Iy9od7-A
8,129.0,Spirited Away,Spirited Away - Official Trailer,ByXuk9QqQkk
9,129.0,Spirited Away,Spirited Away: The Films of Studio Ghibli Trailer | TIFF 2016,0lzccY1-PNs
10,497.0,The Green Mile,The Green Mile Trailer [HD],ctRK-4Vt7dA
11,497.0,The Green Mile,The Green Mile ≣ 1999 ≣ Trailer,qJRxRPrTGVY
12,680.0,Pulp Fiction,"Pulp Fiction | Official Trailer (HD) - John Travolta, Uma Thurman, Samuel L. Jackson | MIRAMAX",tGpTpVyI_OQ
13,637.0,Life Is Beautiful,Life is Beautiful (1998) Official Trailer - Robert Benigni Movie HD,pAYEQP8gx3w
14,155.0,The Dark Knight,The Dark Knight - Official Trailer [HD],kmJLuwP3MbY
15,13.0,Forrest Gump,Forrest Gump - Trailer,bLvqoHBptjg
16,324857.0,Spider-Man: Into the Spider-Verse,SPIDER-MAN: INTO THE SPIDER-VERSE - Official Trailer (HD),g4Hbz2jLxvQ
17,324857.0,Spider-Man: Into the Spider-Verse,SPIDER-MAN: INTO THE SPIDER-VERSE - Official Trailer #2 (HD),tg52up16eq0
18,122.0,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King Official Trailer #1 - (2003) HD,r5X-hFf6Bwo
